Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	35	198	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	35	198	9	1	2_____	184	1	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	186	1	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	638	1	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	640	1	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	682	1	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	706	1	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	713	1	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	714	1	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	1755	1	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	1763	1	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	2250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2458	2	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2462	2	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	2750	2	9	0	0	0	0	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2832	9	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2861	9	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	2880	9	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2883	9	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	2933	9	0	0	0	0	1	0	0	0	0	0
C	Marios	35	198	9	1	2_____	2934	9	0	0	0	0	0	0	0	0	1	0
C	Marios	35	198	9	1	2_____	2949	9	0	0	0	0	1	0	0	0	0	0
