Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	53	225	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	6	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	41	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	2016	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	2019	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	2023	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	2032	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	3500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4000	3	7	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4491	7	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4500	7	1	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4568	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	4572	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4592	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	4677	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4679	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	4687	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	4745	1	0	0	0	0	1	0	0	0	1	0
C	Marios	53	225	1	1	1_____	4763	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	5579	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	5607	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	6402	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	6460	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	8201	1	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	8217	1	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	8250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	8750	2	4	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	9250	4	7	0	0	0	0	0	0	0	0	0
C	Marios	53	225	1	1	1_____	9285	7	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	9358	7	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	9394	7	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	9404	7	0	0	0	0	0	0	0	0	1	0
C	Marios	53	225	1	1	1_____	9405	7	0	0	0	0	1	0	0	0	0	0
C	Marios	53	225	1	1	1_____	9409	7	0	0	0	0	0	0	0	0	1	0
