Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,53,231,1,1,1_____,0,0,1,0,0,0,0,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,1480,1,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,1488,1,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,2768,1,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,2787,1,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,2822,1,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,2826,1,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,4263,1,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,4270,1,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,4286,1,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,4289,1,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,4500,1,2,0,0,0,0,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5000,2,3,0,0,0,0,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5500,3,7,0,0,0,0,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5546,7,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5651,7,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5679,7,0,0,0,0,1,0,0,0,0,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
C,Marios,53,231,1,1,1_____,5732,7,0,0,0,0,0,0,0,0,1,0,RetardationTest_Stage5_Day17,CIRetardationTestStage5Day17ChocolateO2
