Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	52	245	4	1	5_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	1465	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	1509	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	1537	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	1542	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	1548	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	1561	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	3067	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	3087	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	4696	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	4708	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	5250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	5750	2	3	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	6209	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	6250	3	5	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	6517	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	6549	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	6689	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	6750	5	1	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	8056	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	8145	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	9004	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	9041	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	9575	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	9582	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	12250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	12321	2	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	12375	2	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	12406	2	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	12518	2	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	12750	2	4	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13033	4	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13106	4	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13107	4	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13197	4	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13250	4	5	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13295	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13592	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13596	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13599	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13631	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13647	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13650	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13654	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13660	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13663	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13668	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13709	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13712	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	13738	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	13750	5	1	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	16911	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	16913	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	16919	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	17026	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	17089	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	17118	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	17250	1	2	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	17750	2	4	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18250	4	5	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18290	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18586	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	18588	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18595	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	18613	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18624	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	18636	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18648	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	18650	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	18702	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	18750	5	1	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	21300	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	21364	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	21490	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	21535	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	21657	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	21758	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	21962	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	21967	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	22500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23000	2	3	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23295	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23354	3	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23466	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23470	3	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23472	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23474	3	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23475	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23478	3	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23480	3	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23500	3	5	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23826	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23831	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23834	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23839	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23883	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23888	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23893	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23897	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23925	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23928	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	23935	5	0	0	0	0	1	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23960	5	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	23962	5	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	24000	5	1	0	0	0	0	0	0	0	0	0
C	Marios	52	245	4	1	5_____	24107	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	25165	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	25187	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	25265	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	25272	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	25274	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	25276	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	25280	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	25284	1	0	0	0	0	0	0	0	0	1	0
C	Marios	52	245	4	1	5_____	25288	1	0	0	0	0	1	0	0	0	0	0
C	Marios	52	245	4	1	5_____	25291	1	0	0	0	0	0	0	0	0	1	0
