Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	50	210	4	1	5_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	50	210	4	1	5_____	47	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	103	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	1500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2000	2	9	0	0	0	0	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2086	9	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2154	9	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2191	9	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2201	9	0	0	0	0	1	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2227	9	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2278	9	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2322	9	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2361	9	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2370	9	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2463	9	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2487	9	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2500	9	11	0	0	0	0	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2512	11	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2515	11	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2523	11	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2721	11	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	2811	11	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	2858	11	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	3000	11	1	0	0	0	0	0	0	0	0	0
C	Marios	50	210	4	1	5_____	3698	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	3711	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	5484	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	5521	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	5525	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	5527	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	5729	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	5731	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	5798	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	5815	1	0	0	0	0	0	0	0	0	1	0
C	Marios	50	210	4	1	5_____	5827	1	0	0	0	0	1	0	0	0	0	0
C	Marios	50	210	4	1	5_____	5828	1	0	0	0	0	0	0	0	0	1	0
