Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	49	210	9	1	2_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	1500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2000	2	9	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2067	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2084	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2119	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2123	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2140	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2184	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2275	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2326	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2352	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2386	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2466	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2480	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2481	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2483	9	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2490	9	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2500	9	10	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2502	10	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	2514	10	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	2803	10	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	3000	10	1	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	3554	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	3562	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	3804	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	4000	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	4235	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	4239	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	4807	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	4838	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	4843	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	4845	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	4872	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	4917	1	0	0	0	0	1	0	0	0	1	0
C	Marios	49	210	9	1	2_____	4919	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5099	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5125	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5449	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5507	1	0	0	0	0	1	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5525	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5607	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5632	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5635	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5651	1	0	0	0	0	1	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5653	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5750	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5806	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5834	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5838	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5839	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5843	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	5874	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	5891	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6009	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6011	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6012	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6031	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6034	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6046	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6051	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6053	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6063	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6076	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6082	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6092	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6100	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6161	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6711	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6748	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	6811	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	6846	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	7348	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	7414	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	7420	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	7422	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	7695	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	7710	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	7712	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	7800	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	8345	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	8368	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	8370	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	8425	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	8500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	8897	2	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	8906	2	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9000	2	8	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9097	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9150	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9196	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9214	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9222	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9242	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9324	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9327	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9329	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9331	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9352	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9354	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9358	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9376	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9427	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9441	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	9471	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9500	8	11	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	9749	11	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	10000	11	1	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	10517	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	10526	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	10529	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	10560	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	11018	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	11109	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	11792	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	11806	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	12391	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	12460	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	13127	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	13167	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	13243	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	13254	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	13771	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	13791	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	14044	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	14127	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	14765	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	14834	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	15045	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	15076	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	15976	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16044	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16074	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16153	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16169	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16173	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16270	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16310	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16320	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16360	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16370	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16376	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16395	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16486	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16508	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16522	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16543	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16565	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16566	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16582	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	16700	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	16833	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	17024	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	17047	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	17500	1	22	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	17865	22	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	17893	22	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	17956	22	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18000	22	8	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18001	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18049	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18076	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18109	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18146	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18191	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18198	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18232	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18269	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18332	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18340	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18360	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18385	8	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18443	8	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18500	8	11	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18509	11	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18712	11	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	18728	11	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	18798	11	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	19000	11	1	0	0	0	0	0	0	0	0	0
C	Marios	49	210	9	1	2_____	19083	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	19121	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	19250	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	19252	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	19253	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	19256	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	19951	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	19972	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	20040	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	20043	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	20044	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	20079	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	20188	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	20200	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	20582	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	20600	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	21217	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	21317	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	21479	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	21538	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	21931	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	21946	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	22578	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	22599	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	22689	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	22788	1	0	0	0	0	0	0	0	0	1	0
C	Marios	49	210	9	1	2_____	23020	1	0	0	0	0	1	0	0	0	0	0
C	Marios	49	210	9	1	2_____	23088	1	0	0	0	0	0	0	0	0	1	0
