folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,266,1,0,0,0,0,2,0.900000000000034,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,267,2,0,0,0,0,1,0.939999999999998,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,268,3,0,0,0,0,0,0.819999999999993,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,269,4,0,0,0,0,1,0.660000000000025,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,270,5,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,271,6,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,272,7,0,0,0,0,2,0.939999999999998,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,273,8,0,0,0,0,1,0.420000000000016,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,274,9,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,2,275,10,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,276,1,0,0,0,0,0,0.180000000000007,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,277,2,0,0,0,0,1,0.860000000000014,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,278,3,0,0,0,0,3,0.720000000000027,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,279,4,0,0,0,0,1,0.400000000000034,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,280,5,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,281,6,0,0,0,0,5,0.639999999999986,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,282,7,0,0,0,0,0,1,0,0
Acquisition_Day11,CRFAcquisitionDay11C,CRFAcquisitionDay11C_Rat11.csv,11____,13,2,1,C,Marios,157,1,4,283,8,0,0,0,0,2,0.480000000000018,0,0
