Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marsos	11	163	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	735	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	813	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	941	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	954	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	960	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	963	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	995	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	1007	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	1029	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	1129	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	3225	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	3233	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	9197	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	9210	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	9931	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	10032	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	11003	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	11009	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	11010	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	11026	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	11091	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	11104	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	11113	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	11115	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	11700	1	2	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	12200	2	3	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	12370	3	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	12380	3	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	12443	3	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	12451	3	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	12544	3	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	12700	3	8	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	13200	8	1	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	13231	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	14215	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	14251	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	14263	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	14274	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	15630	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	15788	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	16787	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	16801	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	19474	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	19487	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	19550	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	19591	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	20872	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	20924	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	21568	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	22576	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	28704	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	28713	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	28714	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	28717	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	29700	1	2	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	30082	2	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	30122	2	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	30200	2	6	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	30329	6	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	30700	6	7	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	31131	7	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	31200	7	1	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	31307	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	31350	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	32134	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	32152	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	35367	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	35407	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	36336	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	36367	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	38900	1	2	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	39400	2	4	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	39488	4	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	39900	4	7	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	40251	7	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	40400	7	1	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	40952	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	41045	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	41060	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	41063	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	47300	1	2	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	47800	2	5	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48097	5	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48124	5	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48196	5	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48300	5	8	0	0	0	0	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48660	8	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48689	8	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48691	8	0	0	0	0	1	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48708	8	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48709	8	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48712	8	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48715	8	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48720	8	0	0	0	0	1	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48746	8	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48773	8	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48776	8	0	0	0	0	0	0	0	0	1	0
C	Marsos	11	163	1	1	9_____	48778	8	0	0	0	0	1	0	0	0	0	0
C	Marsos	11	163	1	1	9_____	48797	8	0	0	0	0	0	0	0	0	1	0
