Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marsos	14	163	10	1	12____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marsos	14	163	10	1	12____	1905	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	1941	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	2800	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	2819	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	2864	1	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	2871	1	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	4500	1	2	0	0	0	0	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5000	2	4	0	0	0	0	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5081	4	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5130	4	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	5155	4	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5206	4	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	5276	4	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5475	4	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	5479	4	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5500	4	9	0	0	0	0	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5532	9	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	5597	9	0	0	0	0	1	0	0	0	0	0
C	Marsos	14	163	10	1	12____	5828	9	0	0	0	0	0	0	0	0	1	0
C	Marsos	14	163	10	1	12____	5835	9	0	0	0	0	1	0	0	0	0	0
