Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	14	72	10	1	12____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	14	72	10	1	12____	752	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	772	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	1571	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	1573	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	1578	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	1610	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	1613	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	1694	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	1710	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	1735	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	2980	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	3006	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	3863	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	3869	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	3872	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	3894	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	3900	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	3961	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	5038	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	5046	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	5050	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	5081	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	5082	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	5087	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	5090	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	5205	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	6164	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	6174	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	6422	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	6433	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	7312	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	7441	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	7880	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	7897	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	8937	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	8946	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	8949	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	8955	1	0	0	0	0	1	0	0	0	1	0
C	Marios	14	72	10	1	12____	8960	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	9129	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	9131	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	9233	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	9237	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	11338	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	11451	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	11601	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	11603	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	11604	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	11666	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	11700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	14	72	10	1	12____	11719	2	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	11730	2	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	12200	2	6	0	0	0	0	0	0	0	0	0
C	Marios	14	72	10	1	12____	12352	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	12354	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	12367	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	12373	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	12456	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	12465	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	12700	6	8	0	0	0	0	0	0	0	0	0
C	Marios	14	72	10	1	12____	12797	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13084	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13085	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13090	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13092	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13094	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13106	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13130	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13136	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13140	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13149	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13188	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13200	8	1	0	0	0	0	0	0	0	0	0
C	Marios	14	72	10	1	12____	13220	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13223	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13226	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13253	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13265	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13285	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13286	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13291	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	72	10	1	12____	13299	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	72	10	1	12____	13302	1	0	0	0	0	0	0	0	0	1	0
