Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	11	109	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	11	109	1	1	9_____	553	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	668	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	704	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	776	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	1833	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	1852	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	4347	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	4391	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	4393	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	4427	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	5127	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	5129	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	5138	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	5158	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	5510	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	5517	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	6519	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	6601	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	8097	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	8105	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	8114	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	8129	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	8711	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	8713	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	9542	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	9577	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	11505	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	11536	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	11654	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	11745	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	11799	1	0	0	0	0	1	0	0	0	0	0
C	Marios	11	109	1	1	9_____	11870	1	0	0	0	0	0	0	0	0	1	0
C	Marios	11	109	1	1	9_____	11936	1	0	0	0	0	1	0	0	0	0	0
