Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	12	109	9	1	10____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	317	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	320	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	341	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	373	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	481	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	529	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	729	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	742	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	2409	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	2415	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	3717	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	3727	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	8565	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	8607	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	8659	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	8686	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	8752	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	8895	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	10900	1	2	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	11400	2	3	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	11434	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	11443	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	11555	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	11576	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	11707	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	11810	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	11849	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	11900	3	7	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	12178	7	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	12210	7	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	12290	7	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	12400	7	1	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	12469	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	12475	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	16320	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	16348	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	20900	1	2	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	21400	2	6	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	21440	6	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	21443	6	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	21596	6	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	21619	6	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	21650	6	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	21686	6	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	21714	6	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	21794	6	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	21821	6	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	21900	6	8	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	22400	8	1	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	22650	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	24136	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	24161	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	26127	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	26176	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	27329	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	27336	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	28974	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	28992	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	30507	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	30512	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31124	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31131	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31392	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31633	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31650	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31652	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31658	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31663	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31669	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31672	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31685	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31690	1	0	0	0	0	1	0	0	0	1	0
C	Marios	12	109	9	1	10____	31699	1	0	0	0	0	1	0	0	0	1	0
C	Marios	12	109	9	1	10____	31706	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31710	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31741	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31766	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	31879	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	31945	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	32024	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	32079	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	32240	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	32500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	33000	2	5	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	33061	5	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	33073	5	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	33258	5	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	33290	5	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	33357	5	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	33472	5	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	33500	5	7	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	33517	7	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	33902	7	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34000	7	1	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	34035	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34058	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34060	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34119	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34171	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34195	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34254	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34305	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34309	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34311	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34314	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34316	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	34320	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	34357	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	40100	1	2	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	40154	2	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	40166	2	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	40600	2	4	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	40693	4	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	40703	4	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	40732	4	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	40748	4	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	40830	4	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	40893	4	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	40906	4	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	41100	4	8	0	0	0	0	0	0	0	0	0
C	Marios	12	109	9	1	10____	41429	8	0	0	0	0	0	0	0	0	1	0
C	Marios	12	109	9	1	10____	41555	8	0	0	0	0	1	0	0	0	0	0
C	Marios	12	109	9	1	10____	41600	8	1	0	0	0	0	0	0	0	0	0
