Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	13	120	2	1	11____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	13	120	2	1	11____	661	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	667	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	4391	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	4408	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	4569	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	4664	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	6289	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	6313	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	7502	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	7659	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	7700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	13	120	2	1	11____	7914	2	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	8027	2	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	8133	2	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	8200	2	4	0	0	0	0	0	0	0	0	0
C	Marios	13	120	2	1	11____	8211	4	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	8244	4	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	8369	4	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	8380	4	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	8700	4	7	0	0	0	0	0	0	0	0	0
C	Marios	13	120	2	1	11____	9200	7	1	0	0	0	0	0	0	0	0	0
C	Marios	13	120	2	1	11____	9221	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	9223	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	9233	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	9329	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	9472	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	10544	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	10560	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	10671	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	10871	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	10881	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	10979	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	10982	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	11239	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	11286	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	11342	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	11348	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	11362	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	120	2	1	11____	11372	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	120	2	1	11____	11386	1	0	0	0	0	0	0	0	0	1	0
