Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	12	133	9	1	10____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	12	133	9	1	10____	1065	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	1086	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	3300	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	3325	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	5787	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	5805	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	6511	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	6532	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	6638	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	6665	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	7385	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	7395	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	8991	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	8993	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	9177	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	9179	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	9180	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	9182	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	9202	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	9204	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	133	9	1	10____	11545	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	133	9	1	10____	11574	1	0	0	0	0	0	0	0	0	1	0
