Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	13	133	2	1	11____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	13	133	2	1	11____	471	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	732	1	0	0	0	0	1	0	0	0	1	0
C	Marios	13	133	2	1	11____	814	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	816	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	1404	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	1408	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	2404	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	2407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	2422	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	2431	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	2445	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	2532	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	2589	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	2740	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	2755	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	2756	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	3072	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	3076	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	3087	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	3102	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	3135	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	3145	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	3365	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	3887	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	3898	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	5168	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	5255	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6219	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6286	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6288	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6294	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6295	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6345	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6351	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6405	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6406	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6408	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6409	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6543	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6544	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6609	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6648	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6809	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6810	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	6816	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	6867	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	7301	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	7779	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	7812	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	7844	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	8737	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	8776	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	8883	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	9866	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	9950	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	10206	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	10233	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	11725	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	11781	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	12483	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	12587	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	12644	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	12687	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	12734	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	12792	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	12884	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	12966	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	14128	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	14137	1	0	0	0	0	0	0	0	0	1	0
C	Marios	13	133	2	1	11____	14470	1	0	0	0	0	1	0	0	0	0	0
C	Marios	13	133	2	1	11____	14475	1	0	0	0	0	0	0	0	0	1	0
