folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,202,1,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,203,2,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,204,3,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,205,4,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,206,5,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,207,6,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,208,7,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,209,8,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,210,9,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,2,211,10,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,212,1,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,213,2,0,0,0,0,0,0,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,214,3,0,0,0,0,1,0.879999999999995,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,215,4,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,216,5,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,217,6,0,0,0,0,0,0.280000000000001,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,218,7,0,0,0,0,1,0.52000000000001,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,219,8,0,0,0,0,0,0.379999999999995,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,220,9,0,0,0,0,1,0.560000000000002,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,5,221,10,0,0,0,0,0,0.780000000000001,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,222,1,0,0,0,0,1,0.740000000000009,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,223,2,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,224,3,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,225,4,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,226,5,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,227,6,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,228,7,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,229,8,0,0,0,0,0,1,0,0
Acquisition_Day9,CRFAcquisitionDay9A,CRFAcquisitionDay9A_Rat9.csv,9_____,11,1,1,C,Marios,133,1,8,230,9,0,0,0,0,0,1,0,0
