Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	2	44	4	1	13____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	1575	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	1583	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	4462	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	4683	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	5500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	6000	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	6500	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	8531	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	8654	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	8770	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	8794	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	8798	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	8821	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	8854	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	8858	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	9215	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	9216	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	12750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	13250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	13750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	14018	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	14027	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	14035	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	14037	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	14080	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	14187	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	14189	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	14428	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	15482	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	15485	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	15495	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	15567	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	16432	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	16515	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	17064	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	17132	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	17632	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	17634	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	17659	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	17775	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	17782	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	17789	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	17807	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	18022	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	18056	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	18157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	18236	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	18336	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	18750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	18815	2	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	18828	2	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	19250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	19424	3	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	19518	3	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	19750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	44	4	1	13____	19862	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	19870	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	19877	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	19938	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	20101	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	20486	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	20488	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	20495	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	20504	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	20557	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	20800	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	20937	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	21005	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	44	4	1	13____	21007	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	44	4	1	13____	21635	1	0	0	0	0	1	0	0	0	0	0
