folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur,counterbalancing,sex,Left_LeverCueID,Right_LeverCueID,CS_LeftLeverName,CS_RightLeverName,TestCondition,Test,Day
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,1,0,60,0,0,6,1.48,0,0,0,0,0,0,2,2,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,2,60,120,3,0.279999999999987,1,0.959999999999994,0,0,0,0,1,1,1,1,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,3,120,180,7,1.52000000000004,3,0.980000000000004,0,0,0,0,3,3,1,1,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,4,180,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,6,300,360,0,0,1,10.24,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,7,360,420,6,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,9,480,540,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
Test1_Day13,CRFTest1P36,CRFTest1P36_Rat11.csv,11____,36,2,1,C,Marios,189,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C,F,Click,Noise,C++,D+,P100_HighVsLow,Test1,Day13
