Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	57	256	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	1378	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	1381	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	5511	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	5516	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	6658	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	6744	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	8835	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	8848	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	9465	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	9583	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	9604	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	9606	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	9620	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	9626	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	9695	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	9727	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	10551	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	10563	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	10573	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	10754	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	11657	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	11661	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	11700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12200	2	6	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12256	6	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12267	6	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	12470	6	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12511	6	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	12588	6	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12674	6	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	12695	6	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	12700	6	7	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	13110	7	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	13200	7	1	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	14569	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	14646	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	15609	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	15611	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	15613	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	15754	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	15767	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	15825	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	17887	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	17916	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	20052	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	20071	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	21700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	22200	2	3	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	22370	3	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	22402	3	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	22497	3	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	22700	3	9	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	22988	9	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	23200	9	1	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	23434	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	23446	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	23624	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	23643	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	25644	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	25666	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	27773	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	27797	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	29105	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	29107	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	29142	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	29157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	29160	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	29162	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	29219	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	29234	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	30619	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	30691	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	31910	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	31965	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	33979	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	33997	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	34897	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	34935	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	34965	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	34987	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	36635	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	36655	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	36657	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	36699	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	38900	1	2	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	39400	2	5	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	39601	5	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	39630	5	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	39637	5	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	39900	5	8	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	40324	8	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	40327	8	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	40332	8	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	40335	8	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	40400	8	1	0	0	0	0	0	0	0	0	0
C	Marios	57	256	1	1	9_____	40614	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	40615	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	40635	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	44983	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	44995	1	0	0	0	0	1	0	0	0	1	0
C	Marios	57	256	1	1	9_____	44997	1	0	0	0	0	0	0	0	0	1	0
C	Marios	57	256	1	1	9_____	44999	1	0	0	0	0	1	0	0	0	0	0
C	Marios	57	256	1	1	9_____	45186	1	0	0	0	0	0	0	0	0	1	0
