Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	59	261	2	1	11____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	18	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	52	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	1252	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	1254	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	1271	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	1273	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	1651	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	1833	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	1835	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	2028	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	2032	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	2033	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	2037	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	2039	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	2041	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	2454	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	3351	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	3391	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	6781	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	6988	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	6991	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	7023	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	7024	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	7029	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	7030	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	7036	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	7037	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	7095	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	7096	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	8049	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	8059	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	8435	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	8436	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	8746	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	8835	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9158	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9159	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9166	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9300	1	2	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	9335	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9359	2	0	0	0	0	1	0	0	0	1	0
C	Marios	59	261	2	1	11____	9402	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9403	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9415	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9424	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9427	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9443	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9445	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9458	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9732	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9739	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9745	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9762	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	9800	2	5	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	9813	5	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	9971	5	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	10049	5	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	10076	5	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	10133	5	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	10150	5	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	10214	5	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	10233	5	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	10300	5	9	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	10800	9	1	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	11131	1	0	0	0	0	1	0	0	0	1	0
C	Marios	59	261	2	1	11____	11165	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	11338	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	11384	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	11388	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	11484	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	11490	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	11493	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	11532	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	11555	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	11612	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	12218	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	12236	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	12243	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	12295	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	12460	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	12500	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	13609	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	13615	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	13942	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	16393	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	16401	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	16428	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	16713	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	16716	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	16843	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	16848	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	16886	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	16889	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	17587	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	17605	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	17617	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	17691	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	17712	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	17722	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	17903	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	17905	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	18311	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	18325	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	18337	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	20976	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22566	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	22585	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22602	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	22608	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22950	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	22951	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22956	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	22957	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22984	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	22987	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	22990	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23071	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23082	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23095	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23108	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23109	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23122	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23123	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23125	1	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23128	1	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23300	1	2	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	23640	2	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23642	2	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	23800	2	4	0	0	0	0	0	0	0	0	0
C	Marios	59	261	2	1	11____	23806	4	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	23931	4	0	0	0	0	1	0	0	0	0	0
C	Marios	59	261	2	1	11____	24015	4	0	0	0	0	0	0	0	0	1	0
C	Marios	59	261	2	1	11____	24029	4	0	0	0	0	1	0	0	0	0	0
