Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	58	276	9	1	10____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	58	276	9	1	10____	470	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	534	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	1983	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2045	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2057	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2059	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2080	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2082	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2084	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2168	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2175	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2211	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2278	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2301	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2321	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2351	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2357	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2415	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2424	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2448	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2530	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2541	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2560	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2566	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2570	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2582	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	2587	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	2721	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	3372	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	3444	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	3731	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	3883	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	4147	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	4202	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	4407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	4456	1	0	0	0	0	0	0	0	0	1	0
C	Marios	58	276	9	1	10____	4994	1	0	0	0	0	1	0	0	0	0	0
C	Marios	58	276	9	1	10____	5003	1	0	0	0	0	0	0	0	0	1	0
