Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	60	288	10	1	12____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	525	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	557	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	585	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	617	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	1270	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	1448	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	1677	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	1701	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	1921	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	1923	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2135	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2158	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2521	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2542	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2580	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2600	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2634	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2670	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2716	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2768	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2824	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2855	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	2882	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	2942	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	3040	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	3082	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	3441	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	3457	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	4050	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	4085	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	4833	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	4991	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	5107	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	5188	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	5197	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	5288	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	6017	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	6031	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	7983	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	8006	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	8317	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	8333	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	8488	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	8540	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	8621	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	8700	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	10975	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11000	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11121	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11137	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11198	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11201	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11204	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11229	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11569	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11574	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11646	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	11720	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	11916	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	12046	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	12170	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	12234	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	12583	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	12600	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	13300	1	2	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	13800	2	5	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	14029	5	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14045	5	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14202	5	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14228	5	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14300	5	9	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	14341	9	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14407	9	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14474	9	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14608	9	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14612	9	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14712	9	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14800	9	1	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	14805	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	14861	1	0	0	0	0	1	0	0	0	1	0
C	Marios	60	288	10	1	12____	14893	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	14897	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	15036	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	15077	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	15081	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	15119	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	15137	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	15146	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	15165	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	16607	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	16683	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	17655	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	17942	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	17947	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	17970	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	17981	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18001	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	18089	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18167	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	18168	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18227	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	18309	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18354	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	18454	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18468	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	18762	1	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	18775	1	0	0	0	0	0	0	0	0	1	0
C	Marios	60	288	10	1	12____	19300	1	2	0	0	0	0	0	0	0	0	0
C	Marios	60	288	10	1	12____	19354	2	0	0	0	0	1	0	0	0	0	0
C	Marios	60	288	10	1	12____	19364	2	0	0	0	0	0	0	0	0	1	0
