Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	2	39	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	3500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	4000	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6020	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6179	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	6198	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6215	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	6235	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6237	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	6287	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6315	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	6433	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	6467	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	9069	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	9190	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	9389	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	9411	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	9719	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	9735	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	10000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	10500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	11000	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	12250	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	12393	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	12407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	12427	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	12475	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	12494	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	13547	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	13597	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	14787	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	14822	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	14851	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	14877	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	14907	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	14937	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	15750	1	2	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	16250	2	3	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	16570	3	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	16573	3	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	16576	3	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	16645	3	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	16671	3	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	16735	3	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	16750	3	1	0	0	0	0	0	0	0	0	0
C	Marios	2	39	1	1	9_____	17542	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	17567	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	17593	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	17598	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	19314	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	19334	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	19520	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	19547	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	19579	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	19794	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	20674	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	20694	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	20723	1	0	0	0	0	1	0	0	0	0	0
C	Marios	2	39	1	1	9_____	20741	1	0	0	0	0	0	0	0	0	1	0
C	Marios	2	39	1	1	9_____	21000	1	2	0	0	0	0	0	0	0	0	0
