Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	77	326	1	1	9_____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	77	326	1	1	9_____	98	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	169	1	0	0	0	0	1	0	0	0	1	0
C	Marios	77	326	1	1	9_____	192	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	238	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	287	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	1970	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	2009	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	2454	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	2458	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	3345	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	3348	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	3352	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	3379	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	4090	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	4220	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	4233	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	4235	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	4266	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	4298	1	0	0	0	0	0	0	0	0	1	0
C	Marios	77	326	1	1	9_____	4321	1	0	0	0	0	1	0	0	0	0	0
C	Marios	77	326	1	1	9_____	4341	1	0	0	0	0	0	0	0	0	1	0
