Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	78	330	9	1	10____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	1313	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	1326	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	1865	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	1887	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	2550	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	2567	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	3052	2	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	3054	2	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	3500	2	5	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	3640	5	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	3647	5	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	3943	5	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	3962	5	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	3989	5	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4000	5	9	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	4003	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4018	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4020	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4021	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4085	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4086	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4087	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4112	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4166	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4251	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4274	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	4500	9	1	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	4799	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	4810	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	6283	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	6285	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	6353	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	6390	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	7767	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	7774	1	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	8000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	8500	2	3	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	8844	3	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	8859	3	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	8894	3	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	8902	3	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	9000	3	9	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	9025	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	9040	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	9056	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	9080	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	9168	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	9169	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	9433	9	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	9450	9	0	0	0	0	0	0	0	0	1	0
C	Marios	78	330	9	1	10____	9500	9	1	0	0	0	0	0	0	0	0	0
C	Marios	78	330	9	1	10____	11028	1	0	0	0	0	1	0	0	0	0	0
C	Marios	78	330	9	1	10____	11030	1	0	0	0	0	0	0	0	0	1	0
