Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	80	330	10	1	12____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	289	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	519	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	895	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	918	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	1553	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	1561	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	1614	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	1628	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	3500	2	6	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	3936	6	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	3954	6	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	3995	6	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	3997	6	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	4000	6	8	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	4011	8	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	4194	8	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	4500	8	1	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	5132	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	5157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	6443	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	6495	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	6620	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	6677	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	6925	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	6943	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	7449	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	7522	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	7598	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	7615	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	7747	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	7848	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	8143	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	8156	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	8386	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	8478	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	8552	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	8567	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	9738	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	9743	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	9767	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	9793	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	9813	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	9821	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	9977	1	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	10128	1	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	10500	1	2	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	10695	2	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	10753	2	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	10841	2	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	10947	2	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	10992	2	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	10998	2	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11000	2	3	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	11061	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11078	3	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11107	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11117	3	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11120	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11122	3	0	0	0	0	1	0	0	0	1	0
C	Marios	80	330	10	1	12____	11152	3	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11255	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11278	3	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11297	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11344	3	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11451	3	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11500	3	9	0	0	0	0	0	0	0	0	0
C	Marios	80	330	10	1	12____	11514	9	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11559	9	0	0	0	0	1	0	0	0	0	0
C	Marios	80	330	10	1	12____	11608	9	0	0	0	0	0	0	0	0	1	0
C	Marios	80	330	10	1	12____	11658	9	0	0	0	0	1	0	0	0	0	0
