Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	79	333	2	1	11____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	79	333	2	1	11____	1538	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	1585	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	1587	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	1589	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	1713	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	1889	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	1942	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	2057	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	2812	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	2844	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	2846	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	2890	1	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	2965	1	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	3000	1	2	0	0	0	0	0	0	0	0	0
C	Marios	79	333	2	1	11____	3354	2	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	3500	2	5	0	0	0	0	0	0	0	0	0
C	Marios	79	333	2	1	11____	4000	5	9	0	0	0	0	0	0	0	0	0
C	Marios	79	333	2	1	11____	4098	9	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	4235	9	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	4245	9	0	0	0	0	1	0	0	0	0	0
C	Marios	79	333	2	1	11____	4470	9	0	0	0	0	0	0	0	0	1	0
C	Marios	79	333	2	1	11____	4488	9	0	0	0	0	1	0	0	0	0	0
