Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,79,336,2,1,11____,0,0,1,0,0,0,0,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,2250,1,2,0,0,0,0,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,2295,2,0,0,0,0,1,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,2748,2,0,0,0,0,0,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,2750,2,3,0,0,0,0,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3214,3,0,0,0,0,1,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3250,3,8,0,0,0,0,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3591,8,0,0,0,0,0,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3597,8,0,0,0,0,1,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3599,8,0,0,0,0,1,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3601,8,0,0,0,0,0,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3603,8,0,0,0,0,1,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3616,8,0,0,0,0,0,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3621,8,0,0,0,0,1,0,0,0,0,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
C,Marios,79,336,2,1,11____,3698,8,0,0,0,0,0,0,0,0,1,0,NovelLightCues_Acquisition_Day5,CRFNovelLightAcquisitionDay5C
