Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,14,201,13,1,41____,0,0,1,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,1179,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,1376,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,8027,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,8033,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,8038,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,8150,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,8951,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,9188,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,9300,1,2,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,9800,2,5,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,9875,5,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10191,5,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10234,5,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10300,5,7,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10663,7,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10708,7,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10720,7,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10744,7,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10750,7,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10780,7,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10800,7,1,0,0,0,0,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10989,1,0,0,0,0,0,0,0,0,1,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
C,Marios,14,201,13,1,41____,10990,1,0,0,0,0,1,0,0,0,0,0,ReAcquisition_Day14,CRFReAcquisitionDay14D
