Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	14	200	10	1	12____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	1494	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	1497	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	2339	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	2408	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	4120	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	4386	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	4575	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	4659	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	4880	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	4909	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	6540	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	6542	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	6550	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	6562	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	6611	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	6649	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	10438	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	10458	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	10497	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	10499	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	10556	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	10592	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	12264	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	12318	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	12362	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	12646	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	14716	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	14834	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	14889	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	14893	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	15694	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	15700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	15802	2	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16200	2	4	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	16311	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16319	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16359	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16422	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16427	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16437	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16473	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16548	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16555	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16608	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16612	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16614	4	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	16642	4	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	16700	4	8	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	17040	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	17049	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	17118	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	17119	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	17121	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	17132	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	17137	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	17155	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	17184	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	17200	8	1	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	18922	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	19061	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	19744	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	19874	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	20352	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	20372	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	20934	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	21052	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	21151	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	21159	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	21340	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	21409	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	22128	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	22359	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	23462	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	23550	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	23569	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	23866	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	24128	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	24294	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	24422	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	24598	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	24706	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	24821	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	26925	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	26964	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	26966	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	27195	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	27196	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	27197	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	29700	1	2	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	30200	2	6	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	30219	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30233	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30349	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30380	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30447	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30483	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30512	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30544	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30627	6	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30661	6	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30700	6	8	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	30727	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30925	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30929	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30935	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30942	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30944	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30946	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30949	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30955	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30957	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	30973	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	30975	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31000	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31038	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31045	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31050	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31097	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31144	8	0	0	0	0	1	0	0	0	1	0
C	Marios	14	200	10	1	12____	31149	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31160	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31163	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31172	8	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31184	8	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31200	8	1	0	0	0	0	0	0	0	0	0
C	Marios	14	200	10	1	12____	31216	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31250	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31287	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31293	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31309	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31315	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31318	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31344	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31360	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31365	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31368	1	0	0	0	0	1	0	0	0	0	0
C	Marios	14	200	10	1	12____	31370	1	0	0	0	0	0	0	0	0	1	0
C	Marios	14	200	10	1	12____	31392	1	0	0	0	0	1	0	0	0	0	0
