Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	12	212	9	1	10____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	12	212	9	1	10____	243	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	246	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	1754	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	1756	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	2613	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	2621	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	2647	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	2695	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	2698	1	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	2829	1	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	5300	1	2	0	0	0	0	0	0	0	0	0
C	Marios	12	212	9	1	10____	5800	2	3	0	0	0	0	0	0	0	0	0
C	Marios	12	212	9	1	10____	5916	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	5957	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6021	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6028	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6042	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6053	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6083	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6089	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6126	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6128	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6129	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6131	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6160	3	0	0	0	0	1	0	0	0	0	0
C	Marios	12	212	9	1	10____	6225	3	0	0	0	0	0	0	0	0	1	0
C	Marios	12	212	9	1	10____	6243	3	0	0	0	0	1	0	0	0	0	0
