folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,106,1,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,107,2,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,108,3,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,109,4,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,110,5,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,111,6,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,112,7,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,113,8,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,114,9,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,2,115,10,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,116,1,0,0,0,0,1,0.219999999999999,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,117,2,0,0,0,0,0,1,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,118,3,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,119,4,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,120,5,0,0,0,0,1,0.319999999999993,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,121,6,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,122,7,0,0,0,0,0,0,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,123,8,0,0,0,0,1,0.319999999999993,0,0
ReAcquisition_Day15,CRFReAcquisitionDay15D,CRFReAcquisitionDay15D_Rat12.csv,12____,14,10,1,C,Marios,212,1,5,124,9,0,0,0,0,0,1,0,0
