folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Click_freq,Click_dur,Noise_freq,Noise_dur,Tone_freq,Tone_dur,Siren_freq,Siren_dur
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,1,2281.8,2341.8,1,0.880000000000109,1,1.26000000000022,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,2,2341.8,2401.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,3,2401.8,2461.8,1,0.239999999999782,0,0,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,4,2461.8,2521.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,5,2521.8,2581.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,6,2581.8,2641.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,7,2641.8,2701.8,1,1.09999999999991,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,8,2701.8,2761.8,1,0.5,0,0,0,0,0,0,1,2,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,9,2761.8,2821.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,10,2821.8,2881.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,11,2881.8,2941.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,12,2941.8,3001.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RepeatTest2_Day24,CRFRepeatTest2P65,CRFRepeatTest2P65_Rat15.csv,15____,65,1,1,C,Marios,296,13,3001.8,3061.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
