Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,73,299,1,1,15____,0,0,1,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,1250,1,2,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,3170,2,4,2,0,1,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,3247,4,0,0,0,0,0,0,0,1,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,3270,4,5,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,5270,5,6,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,8270,6,5,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,10270,5,6,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,13270,6,5,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,14270,5,6,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,16524,6,7,1,1,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,16526,7,0,0,0,0,0,0,1,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,16624,7,11,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,18124,11,12,0,0,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
C,Marios,73,299,1,1,15____,19274,12,0,0,1,0,0,0,0,0,0,0,RepeatTest3_Day25,CRFRepeatTest3P73
