folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,sex,Period,state_ID,Stage,Day
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,2,139,1,0,0,0,0,0,0,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,2,140,2,0,0,0,0,0,0,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,2,141,3,0,0,0,0,0,0,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,2,142,4,0,0,0,0,0,0,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,2,143,5,0,0,0,0,0,0,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,3,144,1,0,0,0,0,1,0.200000000000017,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,3,145,2,0,0,0,0,0,0,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,3,146,3,0,0,0,0,0,0,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,3,147,4,0,0,0,0,0,0,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,3,148,5,0,0,0,0,0,0,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,5,149,1,0,0,0,0,0,0,0,0,X,F,CS,Steady,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,5,150,2,0,0,0,0,0,0,0,0,X,F,CS,Steady,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,5,151,3,0,0,0,0,0,0,0,0,X,F,CS,Steady,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,5,152,4,0,0,0,0,0,0,0,0,X,F,CS,Steady,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,5,153,5,0,0,0,0,0,0,0,0,X,F,CS,Steady,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,7,154,1,0,0,0,0,0,0,0,0,X,F,Post1,ChocolatePel,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,7,155,2,0,0,0,0,0,0,0,0,X,F,Post1,ChocolatePel,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,7,156,3,0,0,0,0,0,0,0,0,X,F,Post1,ChocolatePel,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,7,157,4,0,0,0,0,0,0,0,0,X,F,Post1,ChocolatePel,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,7,158,5,0,0,0,0,0,0,0,0,X,F,Post1,ChocolatePel,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,8,159,1,0,0,0,0,0,0,0,0,X,F,Post2,PostCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,8,160,2,0,0,0,0,0,0,0,0,X,F,Post2,PostCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,8,161,3,0,0,0,0,0,0,0,0,X,F,Post2,PostCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,8,162,4,0,0,0,0,0,0,0,0,X,F,Post2,PostCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,1,8,163,5,0,0,0,0,0,0,0,0,X,F,Post2,PostCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,2,359,1,0,0,0,0,1,0.979999999999961,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,2,360,2,0,0,0,0,2,0.620000000000005,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,2,361,3,0,0,0,0,3,0.779999999999973,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,2,362,4,0,0,0,0,0,1,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,2,363,5,0,0,0,0,4,0.660000000000025,0,0,X,F,Pre1,PreCS1,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,3,364,1,0,0,0,0,1,1,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,3,365,2,0,0,0,0,2,0.900000000000034,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,3,366,3,0,0,0,0,0,1,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,3,367,4,0,0,0,0,0,1,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,3,368,5,0,0,0,0,0,1,0,0,X,F,Pre2,PreCS2,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,4,369,1,0,0,0,0,0,1,0,0,X,F,CS,Flash,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,4,370,2,0,0,0,0,0,0.920000000000016,0,0,X,F,CS,Flash,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,4,371,3,0,0,0,0,0,0,0,0,X,F,CS,Flash,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,4,372,4,0,0,0,0,0,0,0,0,X,F,CS,Flash,Pavlovian,Day7
LPL_Pavlovian_Acquisition_Day7,LPLPavlovianDay7X,LPLPavlovianDay7X_Rat17.csv,17____,31,1,2,C,Marios,166,2,4,373,5,0,0,0,0,0,0,0,0,X,F,CS,Flash,Pavlovian,Day7
