folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_CueSpecificTrialNum,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Pavlovian_cbx,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Stage,Schedule,Day,DevaluedOutcome
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,cue_4,1152.52,1,1,0.0399999999999636,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,cue_4,1153.52,2,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,cue_4,1154.52,3,0,0,0,0,1,0.0799999999999272,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,cue_4,1155.52,4,0,0,0,0,1,0.960000000000036,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,cue_4,1156.52,5,0,0,0,0,0,1,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,pre_4,1147.52,1,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,pre_4,1148.52,2,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,pre_4,1149.52,3,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,pre_4,1150.52,4,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,pre_4,1151.52,5,0,0,0,0,0,0,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,1,post_4,1157.52,1,0,0,0,0,0,1,0,0,A,X,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana
