folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Pavlovian_cbx,DevaluedOutcome1,sex,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,Stage,Schedule,Day,DevaluedOutcome,Test_Period
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,1,0,60,11,5.06,1,0.840000000000003,2,0.299999999999997,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,2,60,120,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,3,120,180,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,4,180,240,1,0.340000000000003,0,0,1,0.039999999999992,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,5,240,300,0,0,1,54.38,2,1.80000000000001,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,6,300,360,3,0.279999999999973,0,60,1,0.0400000000000205,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,7,360,420,2,1.26000000000005,0,23.12,4,4.84000000000003,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,8,420,480,1,0.259999999999991,0,0,3,0.300000000000068,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,10,540,600,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,11,600,660,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,12,660,720,0,0,0,0,1,0.0599999999999454,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,ITI
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,13,720,780,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,14,780,840,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,15,840,900,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,16,900,960,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,17,960,1020,0,0,0,0,11,7.07999999999981,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,18,1020,1080,0,0,0,0,1,1.25999999999999,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,19,1080,1140,0,0,0,0,3,2.59999999999968,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,20,1140,1200,1,0.0399999999999636,0,0,5,8.42000000000007,0,0,1,5,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,21,1200,1260,0,0,0,0,0,0,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat17.csv,17____,54,1,1,C,Marios,235,22,1260,1320,0,0,0,0,1,0.0999999999999091,0,0,0,0,0,0,A,X,Banana,F,Left,Right,Chocolate,Banana,Devaluation1,Test,Day13,Banana,Reinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,1,0,60,2,0.460000000000001,1,0.780000000000001,4,4.02,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,2,60,120,0,0,1,1.62,1,1.2,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,3,120,180,0,0,0,0,2,9.80000000000001,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
LPL_Devaluation1_Test_Day13,LPLDevaluation1TestDay13A,LPLDevaluation1TestDay13A_Rat19.csv,19____,54,2,1,C,Marios,235,4,180,240,1,0.0200000000000102,1,5.12,1,3,0,0,0,0,0,0,A,Y,Chocolate,F,Left,Left,Banana,Chocolate,Devaluation1,Test,Day13,Chocolate,NonReinforced
