folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,60,120,0,0,1,0.399999999999991,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,3,120,180,4,1.38000000000002,0,0,0,0,0,0,2,10,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,4,180,240,3,0.719999999999999,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,5,240,300,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,6,300,360,9,4.39999999999992,0,0,0,0,0,0,2,10,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,7,360,420,0,0,1,3.12,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,8,420,480,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,9,480,540,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,10,540,600,15,1.69999999999982,0,0,0,0,0,0,2,10,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,11,600,660,3,1.16000000000008,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,12,660,720,10,1.82000000000005,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,13,720,780,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,14,780,840,1,0.0799999999999272,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,15,840,900,5,2.22000000000014,0,0,0,0,0,0,1,4.44000000000005,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,16,900,960,0,0,0,0,0,0,0,0,0,0.559999999999945,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,17,960,1020,0,0,1,1.38,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,18,1020,1080,2,4.82000000000005,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,19,1080,1140,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,20,1140,1200,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,21,1200,1260,0,0,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,22,1260,1320,2,2.72000000000003,0,0,0,0,0,0,1,5,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,23,1320,1380,1,0.0599999999999454,0,0,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,24,1380,1440,0,0,1,1.87999999999988,0,0,0,0,0,0,0,0,A,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,25,1440,1500,8,7.52000000000021,0,0,0,0,0,0,3,15,0,0,A,Acquisition,RR2,Day1
