folder,file,savename,subject,protocol,station,run,project,userID,session,timebins,timebin_start,timebin_end,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,Flash_freq,Flash_dur,Steady_freq,Steady_dur,counterbalancing,sex,Instrumental_cbx,Pavlovian_cbx,FLash_leverCbx,Steady_levercbx,Flash_OutcomeID,Steady_OutcomeID,DevaluedOutcome1,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,0,450,16,6.49999999999994,2,3.52,0,0,0,0,5,25,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,450,900,34,6.98000000000002,0,0,0,0,0,0,5,24.4400000000001,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,3,900,1350,4,7.54000000000008,1,1.38,0,0,0,0,2,10.5599999999999,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,4,1350,1800,23,14.8799999999999,1,1.87999999999988,0,0,0,0,6,30,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Banana,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,1,0,450,2,0.0999999999999872,4,4.94000000000003,0,0,0,0,0,0,2,10,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,2,450,900,12,6.36000000000013,10,16.7400000000001,0,0,0,0,3,15,3,15,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,3,900,1350,0,0,20,29.38,0,0,0,0,0,0,6,30,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat19.csv,19____,16,2,1,C,Marios,81,4,1350,1800,1,0.159999999999854,9,13.8799999999997,0,0,0,0,0,0,2,10,A,F,A,Y,Left,Left,Banana,Chocolate,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,1,0,450,0,0,3,1.06,0,0,0,0,0,0,1,5,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat21.csv,21____,16,4,1,C,Marios,81,2,450,900,1,0.200000000000045,0,0,0,0,0,0,0,0,0,0,A,F,A,X,Left,Right,Chocolate,Banana,Chocolate,Acquisition,RR2,Day1
