folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Schedule,Day
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,2,149.82,1,1,0.980000000000018,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,2,150.82,2,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,2,151.82,3,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,2,152.82,4,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,1,2,153.82,5,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,2,169.58,1,1,0.0799999999999841,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,2,170.58,2,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,2,171.58,3,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,2,172.58,4,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
LPL_Acquisition_RR2_Day1,LPLAcquisitionRR2Day1A,LPLAcquisitionRR2Day1A_Rat17.csv,17____,16,1,1,C,Marios,81,2,2,173.58,5,0,0,0,0,0,0,0,0,A,Light,Flash,Left,Acquisition,RR2,Day1
