Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	17	81	9	1	18____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	17828	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	17831	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	9	1	18____	22272	1	2	2	0	1	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	22301	2	0	0	0	0	0	0	0	1	0	0
C	Marios	17	81	9	1	18____	22522	2	1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	23905	1	2	2	0	1	0	0	0	1	0	0
C	Marios	17	81	9	1	18____	24155	2	1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	29451	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	29453	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	9	1	18____	90000	1	4	0	0	0	0	0	0	0	0	0
C	Marios	17	81	9	1	18____	90250	4	-1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	1499	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	1628	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	10	1	20____	1679	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	1687	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	10	1	20____	1900	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	1905	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	10	1	20____	2150	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	2607	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	81	10	1	20____	2677	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	81	10	1	20____	3940	1	0	0	1	0	0	0	0	0	0	0
