folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,2,14.14,1,1,0.16,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,2,15.14,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,2,16.14,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,2,17.14,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,1,2,18.14,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,2,23.76,1,2,0.199999999999999,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,2,24.76,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,2,25.76,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,2,26.76,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,2,2,27.76,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,2,33.7,1,1,0.0599999999999952,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,2,34.7,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,2,35.7,3,2,0.139999999999993,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,2,36.7,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,3,2,37.7,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,3,55.06,1,0,0,2,0.640000000000001,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,3,56.06,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,3,57.06,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,3,58.06,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,4,3,59.06,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,5,3,88.04,1,0,0,1,1,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,5,3,89.04,2,0,0,0,0.659999999999997,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,5,3,90.04,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day2,LPLAcquisitionRR2Day2A,LPLAcquisitionRR2Day2A_Rat19.csv,19____,16,2,1,C,Marios,90,5,3,91.04,4,0,0,1,0.0600000000000023,0,0,0,0
