Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	16	100	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	2169	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	2244	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	4698	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	4707	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	4948	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	5514	1	0	0	0	1	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	7055	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	7059	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	7305	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	10805	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	10918	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	11055	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12036	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12038	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	12057	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12061	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	12076	2	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12081	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	12307	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12669	1	0	0	0	0	0	0	0	1	0	0
C	Marios	16	100	1	1	17____	12764	1	0	0	0	1	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	12770	1	0	0	0	0	0	0	0	1	0	0
C	Marios	16	100	1	1	17____	13408	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	13409	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	16270	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	16272	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	16278	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	16281	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	16287	2	0	0	1	0	0	0	0	0	0	0
C	Marios	16	100	1	1	17____	16294	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	100	1	1	17____	16295	2	0	0	1	0	0	0	0	0	0	0
