Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	17	113	9	1	18____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	9977	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	9980	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	17289	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	17300	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	17539	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	19845	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	19889	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	20095	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	23963	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	23967	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	23972	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24157	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	24166	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24191	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	24222	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24224	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24245	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	24257	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24366	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	24368	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	113	9	1	18____	24383	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	113	9	1	18____	24474	3	1	0	0	0	0	0	0	0	0	0
