folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,2,175.28,1,0,0,1,0.47999999999999,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,2,176.28,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,2,177.28,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,2,178.28,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,2,179.28,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,2,381.68,1,0,0,1,0.639999999999986,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,2,382.68,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,2,383.68,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,2,384.68,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,2,385.68,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,2,1055.68,1,0,0,1,1,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,2,1056.68,2,0,0,0,0.659999999999854,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,2,1057.68,3,0,0,1,0.360000000000127,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,2,1058.68,4,0,0,0,0.159999999999854,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,2,1059.68,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,2,1069.66,1,0,0,1,0.379999999999882,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,2,1070.66,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,2,1071.66,3,0,0,1,0.040000000000191,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,2,1072.66,4,0,0,0,1,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,2,1073.66,5,0,0,0,1,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,5,3,1122.02,1,1,0.420000000000073,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,5,3,1123.02,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,5,3,1124.02,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,5,3,1125.02,4,0,0,1,0.740000000000009,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,5,3,1126.02,5,0,0,0,0.460000000000036,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,6,3,1149.66,1,1,1,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,6,3,1150.66,2,0,1,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,6,3,1151.66,3,0,0.0199999999999818,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,6,3,1152.66,4,1,0.220000000000027,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,6,3,1153.66,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,7,2,1551.24,1,0,0,1,1,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,7,2,1552.24,2,0,0,0,1,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,7,2,1553.24,3,0,0,0,0.0599999999999454,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,7,2,1554.24,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,7,2,1555.24,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,111,170.28,1,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,111,171.28,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,111,172.28,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,111,173.28,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,1,111,174.28,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,111,376.68,1,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,111,377.68,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,111,378.68,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,111,379.68,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,2,111,380.68,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,111,1050.68,1,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,111,1051.68,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,111,1052.68,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,111,1053.68,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,3,111,1054.68,5,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,111,1064.66,1,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,111,1065.66,2,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,111,1066.66,3,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,111,1067.66,4,0,0,0,0,0,0,0,0
LPL_Acquisition_RR2_Day4,LPLAcquisitionRR2Day4B,LPLAcquisitionRR2Day4B_Rat25.csv,25____,17,2,1,C,Marios,115,4,111,1068.66,5,0,0,0,0,0,0,0,0
