Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	56	247	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	56	247	1	1	17____	9705	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	9708	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	12860	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	12862	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	30386	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	30875	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	31072	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	31258	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	31314	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	31326	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	34214	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	34271	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	34290	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	34472	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	37375	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	37382	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60671	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	60674	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60677	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	60680	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60686	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	60688	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60693	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	60695	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60719	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	60734	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	60761	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	61014	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	63037	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	63039	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	64596	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	64598	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	88020	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	88023	1	0	0	0	0	1	0	0	0	1	0
C	Marios	56	247	1	1	17____	88027	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	88951	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	89003	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	89005	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	89144	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	92152	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	92241	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	100490	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	100505	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	119993	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	120007	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	137491	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	137493	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	137536	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	137582	1	0	0	0	0	0	0	0	0	1	0
C	Marios	56	247	1	1	17____	159523	1	0	0	0	0	1	0	0	0	0	0
C	Marios	56	247	1	1	17____	159532	1	0	0	0	0	0	0	0	0	1	0
