Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,A1_On,A2_On,A3_On,A4_On,A1_Off,A2_Off,A3_Off,A4_Off,folder,file
C,Marios,26,137,5,1,42____,0,0,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,3150,1,3,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,6150,3,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,9750,1,2,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,12750,2,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,16800,1,2,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,19800,2,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,22050,1,3,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,25050,3,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,31800,1,3,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,34800,3,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,41100,1,2,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,44100,2,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,48600,1,3,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,51600,3,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,57000,1,2,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,60000,2,1,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
C,Marios,26,137,5,1,42____,65850,1,2,0,0,0,0,0,0,0,0,0,LPL_DiscreteTrialAcquisition_Day5,LPLDiscreteTrialAcquisitionA1
