Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	26	137	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	2250	1	3	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	2894	3	5	2	0	1	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	3144	5	3	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	3542	3	0	0	0	0	0	0	0	1	0	0
C	Marios	26	137	1	1	17____	3621	3	0	0	0	1	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	4587	3	0	0	0	0	0	0	0	1	0	0
C	Marios	26	137	1	1	17____	5250	3	1	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	8400	1	2	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9233	2	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9258	2	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9261	2	4	1	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9291	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9300	4	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9304	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9511	4	2	0	0	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9955	2	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9962	2	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9963	2	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9966	2	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9979	2	4	1	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9982	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9987	4	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	9991	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	9997	4	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	10000	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	10006	4	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	10009	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	10015	4	0	0	1	0	0	0	0	0	0	0
C	Marios	26	137	1	1	17____	10019	4	0	0	0	0	0	0	1	0	0	0
C	Marios	26	137	1	1	17____	10024	4	0	0	1	0	0	0	0	0	0	0
