Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	29	138	9	1	24____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	5400	1	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	5817	3	0	0	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	5844	3	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	5891	3	0	0	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	5902	3	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	7292	3	8	2	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	7296	8	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	7542	8	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	8400	3	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	10650	1	2	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	13650	2	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	16800	1	2	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	19800	2	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	25650	1	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	26857	3	0	0	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	26990	3	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	26992	3	0	0	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	26995	3	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	27804	3	8	2	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	27856	8	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	27888	8	0	0	0	1	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	27969	8	0	0	0	0	0	0	0	1	0	0
C	Marios	29	138	9	1	24____	28054	8	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	28650	3	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	33150	1	2	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	33551	2	7	1	1	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	33576	7	0	0	0	0	0	0	1	0	0	0
C	Marios	29	138	9	1	24____	33801	7	2	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	36150	2	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	40650	1	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	43650	3	1	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	50400	1	3	0	0	0	0	0	0	0	0	0
C	Marios	29	138	9	1	24____	53400	3	1	0	0	0	0	0	0	0	0	0
