Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	30	146	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	30	146	1	1	17____	1	1	8	0	0	0	0	0	0	0	0	0
C	Marios	30	146	1	1	17____	1302	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	1414	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	1418	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	1450	8	0	0	0	0	1	0	0	0	1	0
C	Marios	30	146	1	1	17____	1459	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	1464	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	1673	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	1703	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	1706	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	1710	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	1930	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	2736	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	2764	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	2772	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	2856	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	2948	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	2954	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	3205	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	3211	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	4418	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	4517	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	5251	8	2	0	0	0	0	0	0	0	0	0
C	Marios	30	146	1	1	17____	5282	2	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	5503	2	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	5751	2	3	0	0	0	0	0	0	0	0	0
C	Marios	30	146	1	1	17____	6251	3	8	0	0	0	0	0	0	0	0	0
C	Marios	30	146	1	1	17____	6417	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	6422	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	6427	8	0	0	0	0	1	0	0	0	0	0
C	Marios	30	146	1	1	17____	6548	8	0	0	0	0	0	0	0	0	1	0
C	Marios	30	146	1	1	17____	7170	8	0	0	0	0	1	0	0	0	0	0
