Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	31	202	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	31	202	1	1	17____	96	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	121	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	135	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	145	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	418	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	686	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	807	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	867	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	1112	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	1132	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	1798	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	1800	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	1804	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	1809	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	1815	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	1828	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	2106	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	2157	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	2883	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	2891	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	2937	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	2945	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	2946	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	3271	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	4001	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	4040	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	5228	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	5233	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	5399	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	5403	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	5407	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	5410	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	5466	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	5468	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	6769	1	0	0	0	0	1	0	0	0	0	0
C	Marios	31	202	1	1	17____	6904	1	0	0	0	0	0	0	0	0	1	0
C	Marios	31	202	1	1	17____	6950	1	2	0	0	0	0	0	0	0	0	0
C	Marios	31	202	1	1	17____	7200	2	3	0	0	0	0	0	0	0	0	0
C	Marios	31	202	1	1	17____	7450	3	5	0	0	0	0	0	0	0	0	0
C	Marios	31	202	1	1	17____	7700	5	7	0	0	0	0	0	0	0	0	0
C	Marios	31	202	1	1	17____	7741	7	0	0	0	0	1	0	0	0	0	0
