Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	32	218	2	1	19____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	32	218	2	1	19____	1239	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1327	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1331	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1417	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1441	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1450	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1454	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1494	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1601	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1678	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1705	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1712	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1729	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	1798	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	1970	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2011	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2013	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2017	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2031	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2033	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2045	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2073	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2084	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2173	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2421	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2467	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2502	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2520	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	2598	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	2764	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	3742	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	3779	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	3846	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	3848	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	3856	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	3874	1	0	0	0	0	1	0	0	0	1	0
C	Marios	32	218	2	1	19____	3881	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	3893	1	0	0	0	0	1	0	0	0	0	0
C	Marios	32	218	2	1	19____	3895	1	0	0	0	0	0	0	0	0	1	0
C	Marios	32	218	2	1	19____	4209	1	0	0	0	0	1	0	0	0	0	0
