Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	16	307	1	1	17____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	1035	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	1045	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	4262	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	4267	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	4512	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5001	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5008	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	5010	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5016	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	5017	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5043	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	5267	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5456	1	3	2	0	1	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5475	3	0	0	0	0	0	0	0	1	0	0
C	Marios	16	307	1	1	17____	5706	3	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5846	1	0	0	0	1	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	5954	1	0	0	0	0	0	0	0	1	0	0
C	Marios	16	307	1	1	17____	6183	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	6211	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	6508	1	3	2	0	1	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	6758	3	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7337	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7339	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	7345	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7349	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	7355	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7368	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	7605	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7794	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	7806	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	8044	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	8158	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	8196	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	8310	1	0	0	0	0	0	0	0	1	0	0
C	Marios	16	307	1	1	17____	8326	1	3	2	0	1	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	8369	3	0	0	0	0	0	0	0	1	0	0
C	Marios	16	307	1	1	17____	8576	3	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	9042	1	0	0	0	1	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	9114	1	0	0	0	0	0	0	0	1	0	0
C	Marios	16	307	1	1	17____	9200	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	9205	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	9212	1	0	0	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	9240	1	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	9245	1	2	1	1	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	9290	2	0	0	0	0	0	0	1	0	0	0
C	Marios	16	307	1	1	17____	9495	2	1	0	0	0	0	0	0	0	0	0
C	Marios	16	307	1	1	17____	10348	1	0	0	1	0	0	0	0	0	0	0
