Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	Marios	17	307	9	1	18____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	369	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	381	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	619	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	1762	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	1773	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	2012	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	2340	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	2356	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	6059	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	6065	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	6101	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	6111	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	6351	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7146	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7153	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	7220	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7226	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	7320	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7330	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	7382	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7389	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	7570	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7675	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7684	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	7828	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	7869	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	10462	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	10477	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	10712	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	12530	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	12550	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	12551	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	12577	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	13202	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	13215	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	13452	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17130	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17136	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17139	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17166	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17172	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17177	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17214	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17225	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17260	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17263	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17389	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17652	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17695	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17718	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17792	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	17800	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	17830	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	18050	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	19641	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	19721	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	19729	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	19758	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	19891	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	21887	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	21900	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	21989	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	21999	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	23901	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	23922	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	24151	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	26358	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	26411	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	31907	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	31967	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	31969	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	31982	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32219	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32452	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32491	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32633	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32635	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32696	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32706	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32738	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32769	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32837	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32856	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32885	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32920	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32939	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32946	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	32966	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	32974	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	33147	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	42323	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	42333	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	42573	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	42829	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	42834	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	42857	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	42860	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	42879	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	42895	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	43129	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	43704	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	43722	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	43754	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	43809	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	44004	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	45968	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	45999	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	46008	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	46018	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	46046	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	46053	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	46075	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	46095	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	46258	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	47039	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	47054	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	47058	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	47062	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	50851	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	50900	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	50904	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	50957	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	51101	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	51415	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	51429	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	51440	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	51453	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	51665	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	53155	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	53188	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	57170	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	57183	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	57198	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	57209	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	57420	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	63587	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	63684	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	63770	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	63925	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	67350	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	67382	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	67600	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	67916	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	67942	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	71604	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	71616	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	71735	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	71842	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	71854	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	75128	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	75181	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	75378	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83126	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83128	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83199	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83218	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83224	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83237	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83276	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83277	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83288	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83385	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83436	3	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83446	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	83474	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83605	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	83614	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	9	1	18____	90000	1	4	0	0	0	0	0	0	0	0	0
C	Marios	17	307	9	1	18____	90250	4	-1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	0	0	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	1206	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	1207	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	1456	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	5240	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	5274	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	19458	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	19466	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	19708	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	29732	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	29741	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	29982	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	30544	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	30553	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	30704	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	30715	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	30954	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	31075	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	31086	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	31325	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	31681	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	31789	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	31926	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	31936	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	32176	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	32645	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	32797	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	32861	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	32871	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	33111	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	33263	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	33342	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	33375	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	33378	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	33625	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	34034	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	34100	3	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	34284	3	1	0	0	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	34665	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	34771	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	34961	1	0	0	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	35092	1	0	0	0	0	0	0	1	0	0	0
C	Marios	17	307	10	1	20____	35409	1	3	1	1	0	0	0	0	0	0	0
C	Marios	17	307	10	1	20____	35417	3	0	0	0	0	0	0	1	0	0	0
