Project,UserID,Protocol,Session,Station,Run,Subject,Time,Current State,Transition State,Transition Event,LLR_On,RLR_On,Mag_On,A4_On,LLR_Off,RLR_Off,Mag_Off,A4_Off
C,Marios,2,32,14,1,37____,0,0,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,490,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,499,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,503,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,590,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,3750,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,4250,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,4750,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,7461,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,7515,1,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,14,1,37____,7532,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,11000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,11500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,12000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,16000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,16500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,17000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,22750,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,23250,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,23750,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,26862,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27056,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,27142,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27154,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,27180,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27189,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,27329,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27337,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,27340,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27342,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,27351,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,27401,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,28250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,28750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,29250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,30719,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,30889,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,34000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,34500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,35000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,36797,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,36800,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,36801,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,36897,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,36898,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,36919,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,38914,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,39049,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,40250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,40750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,41250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,42493,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,42498,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,42500,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,42510,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,47250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,47750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,48250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,51250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,51750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,52250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,52565,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52569,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,52573,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52579,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,52580,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52585,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,52587,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52646,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,52651,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52654,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,52666,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,52680,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,55528,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,55561,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,57250,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,57750,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,58250,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,59819,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,60105,1,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,14,1,37____,60107,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,61121,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,61128,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,61132,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,61134,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,61160,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,61593,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,62030,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,62126,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,62499,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,62500,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,62502,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,62503,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,62629,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,62824,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,62885,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,63000,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,63178,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,63394,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,63500,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,63514,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,63534,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,63554,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,63683,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,63884,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,63975,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,64062,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,64239,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,64619,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,64884,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,64967,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,64969,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,64976,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,64977,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,64978,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,64996,1,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,14,1,37____,65000,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65120,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65122,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65244,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65250,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65278,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65280,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65284,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65300,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65327,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65333,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65334,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65341,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65344,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65389,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65509,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65524,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,65587,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,65718,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,66002,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,66082,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,68000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,68500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,69000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,70365,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,70379,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,70381,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,70570,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,72500,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,73000,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,73500,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,75733,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,75911,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76271,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,76453,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76463,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,76651,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76653,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,76656,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76680,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,76710,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76867,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,76994,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,76996,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,77007,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,77131,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,77271,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,78089,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,78097,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,78099,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,78544,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,79000,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,79209,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,79393,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,79500,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,80000,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,81585,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,81966,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,82439,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,82447,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,82567,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,82580,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,83650,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,84150,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,84650,3,1,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,85291,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,85322,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,87669,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,87672,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,87676,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,87767,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88183,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88196,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88197,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88202,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88203,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88215,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88216,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88226,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88245,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88324,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88544,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,88718,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,88953,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89116,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89146,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89149,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89180,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89246,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89248,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89251,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89253,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89257,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89258,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89444,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89525,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89553,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,89567,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,89650,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,90560,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,90567,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,90568,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,90572,1,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,90574,1,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,90591,1,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,14,1,37____,90650,1,2,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,90814,2,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91131,2,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91150,2,3,0,0,0,0,0,0,0,0,0
C,Marios,2,32,14,1,37____,91278,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91328,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91476,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91478,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91483,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91484,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91487,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91548,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91553,3,0,0,0,0,1,0,0,0,1,0
C,Marios,2,32,14,1,37____,91557,3,0,0,0,0,0,0,0,0,1,0
C,Marios,2,32,14,1,37____,91558,3,0,0,0,0,1,0,0,0,0,0
C,Marios,2,32,14,1,37____,91650,3,-1,0,0,0,0,0,0,0,0,0
