Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
C	marios	4	30	1	1	1_____	0	0	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	3314	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	3360	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	5250	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	5750	2	3	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	6250	3	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	6885	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	6971	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	12000	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	12500	2	3	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	13000	3	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	13552	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	13560	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	16281	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	16287	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	16291	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	16364	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	18000	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	18097	2	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	18137	2	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	18500	2	3	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	19000	3	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	19045	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	19053	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	19066	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	19102	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	24130	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	24137	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	25250	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	25750	2	3	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	26250	3	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	26481	1	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	26527	1	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	30500	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	31000	2	3	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	31476	3	0	0	0	0	1	0	0	0	0	0
C	marios	4	30	1	1	1_____	31485	3	0	0	0	0	0	0	0	0	1	0
C	marios	4	30	1	1	1_____	31500	3	1	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	35250	1	2	0	0	0	0	0	0	0	0	0
C	marios	4	30	1	1	1_____	35750	2	3	0	0	0	0	0	0	0	0	0
