Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	11	20	9	1	26____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	11	20	9	1	26____	40	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	58	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	1193	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	1271	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	2087	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	2103	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	2106	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	2225	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	2868	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	2886	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3662	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3669	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3677	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3680	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3687	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3699	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3704	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3716	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3721	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3728	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3746	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3753	1	0	0	0	0	1	0	0	0	1	0
B	Marios	11	20	9	1	26____	3758	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3764	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3771	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3793	1	0	0	0	0	1	0	0	0	0	0
B	Marios	11	20	9	1	26____	3795	1	0	0	0	0	0	0	0	0	1	0
B	Marios	11	20	9	1	26____	3929	1	0	0	0	0	1	0	0	0	0	0
