folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,106,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,107,2,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,108,3,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,109,4,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,110,5,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,111,6,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,112,7,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,113,8,0,0,0,0,2,0.179999999999993,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,114,9,0,0,0,0,0,0.420000000000002,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,2,115,10,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,116,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,117,2,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,118,3,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,119,4,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,120,5,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,121,6,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,122,7,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,123,8,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,124,9,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,6,125,10,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,126,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,127,2,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,128,3,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,129,4,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,130,5,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,131,6,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,132,7,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,133,8,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,134,9,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,1,9,135,10,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,274,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,275,2,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,276,3,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,277,4,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,278,5,0,0,0,0,1,0.420000000000016,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,279,6,0,0,0,0,1,0.399999999999977,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,280,7,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,281,8,0,0,0,0,0,0.319999999999993,0,0
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1D,CRFAcqStage1Day1D_Rat36.csv,36____,13,15,1,B,Marios,20,2,2,282,9,0,0,0,0,0,0,0,0
