Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	10	30	1	1	25____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	1513	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	1518	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	2613	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	2619	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	2673	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	2675	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	2694	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	2750	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	5509	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	5718	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	6821	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	6835	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	7721	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	7747	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	7989	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	7996	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8243	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8253	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8290	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8306	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8307	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8312	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8361	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8367	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8384	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8386	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	8395	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	8429	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	12329	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	12334	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	12907	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	13082	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	13125	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	13140	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	13143	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	13233	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	13240	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	13243	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	13300	1	2	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	13800	2	4	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	13902	4	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	14002	4	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	14215	4	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	14237	4	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	14272	4	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	14311	4	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	14700	4	7	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	14730	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	15051	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	15169	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	15196	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	15200	7	1	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	15262	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	15374	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	15500	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	15565	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	15750	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	15764	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	19554	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	19561	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	20790	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	20852	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	24033	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	24038	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	26131	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	26154	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	28141	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	28144	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	28216	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	28353	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	29125	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	29153	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	29299	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	29300	1	2	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	29553	2	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	29565	2	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	29569	2	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	29800	2	5	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	29900	5	7	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	29921	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	30066	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	30069	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	30098	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	30107	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	30164	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	30179	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	30197	7	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	30378	7	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	30400	7	1	0	0	0	0	0	0	0	0	0
B	Marios	10	30	1	1	25____	30413	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	31481	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	31517	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	34941	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	34989	1	0	0	0	0	0	0	0	0	1	0
B	Marios	10	30	1	1	25____	36384	1	0	0	0	0	1	0	0	0	0	0
B	Marios	10	30	1	1	25____	36392	1	0	0	0	0	0	0	0	0	1	0
