Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	12	30	2	2	27____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	12	30	2	2	27____	1145	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	1148	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	1159	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	1176	1	0	0	0	0	1	0	0	0	1	0
B	Marios	12	30	2	2	27____	1376	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	1420	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	1670	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	4784	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	4889	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	5948	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6193	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	6293	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6411	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	6413	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6418	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	6422	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6621	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	6793	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6801	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	6813	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	6853	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	7996	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	8004	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	8189	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	8192	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	8193	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	8389	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	10500	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	10631	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	10644	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	10680	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	10690	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	10715	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	10778	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	10783	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	10837	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	11189	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	11195	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	11212	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	11993	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	12020	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	12091	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	12143	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	12635	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	12716	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	14076	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	14085	1	0	0	0	0	1	0	0	0	1	0
B	Marios	12	30	2	2	27____	14100	1	2	0	0	0	0	0	0	0	0	0
B	Marios	12	30	2	2	27____	14106	2	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	14122	2	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	14124	2	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	14126	2	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	14129	2	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	14157	2	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	14600	2	4	0	0	0	0	0	0	0	0	0
B	Marios	12	30	2	2	27____	14700	4	7	0	0	0	0	0	0	0	0	0
B	Marios	12	30	2	2	27____	15120	7	0	0	0	0	1	0	0	0	1	0
B	Marios	12	30	2	2	27____	15134	7	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15138	7	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15147	7	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15150	7	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15175	7	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15200	7	1	0	0	0	0	0	0	0	0	0
B	Marios	12	30	2	2	27____	15314	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15540	1	0	0	0	0	1	0	0	0	1	0
B	Marios	12	30	2	2	27____	15556	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15660	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15679	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15682	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15720	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15880	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15900	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15901	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15911	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	15917	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	15945	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	16289	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	16319	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	16326	1	0	0	0	0	1	0	0	0	0	0
B	Marios	12	30	2	2	27____	16338	1	0	0	0	0	0	0	0	0	1	0
B	Marios	12	30	2	2	27____	16347	1	0	0	0	0	1	0	0	0	0	0
