Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	13	30	10	1	28____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	13	30	10	1	28____	132	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	238	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	250	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	253	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	589	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	610	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	1925	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	1933	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	2878	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	2997	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	3002	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	3004	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	4083	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	4109	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	8521	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	8556	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	9331	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	9341	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	11203	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	11224	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	11236	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	11275	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	11293	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	11305	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	11699	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	11719	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	12656	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	12660	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	14100	1	2	0	0	0	0	0	0	0	0	0
B	Marios	13	30	10	1	28____	14600	2	6	0	0	0	0	0	0	0	0	0
B	Marios	13	30	10	1	28____	14892	6	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	14932	6	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	15073	6	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	15100	6	9	0	0	0	0	0	0	0	0	0
B	Marios	13	30	10	1	28____	15328	9	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	15600	9	1	0	0	0	0	0	0	0	0	0
B	Marios	13	30	10	1	28____	16373	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	16389	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	16489	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	16502	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18098	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18147	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18150	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18152	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18371	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18396	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18409	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18414	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18415	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18417	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18422	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18468	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18484	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18585	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18681	1	0	0	0	0	1	0	0	0	0	0
B	Marios	13	30	10	1	28____	18687	1	0	0	0	0	0	0	0	0	1	0
B	Marios	13	30	10	1	28____	18691	1	0	0	0	0	1	0	0	0	0	0
