folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,282,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,283,2,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,284,3,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,285,4,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,286,5,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,287,6,0,0,0,0,1,0.620000000000005,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,288,7,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,289,8,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,290,9,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,2,291,10,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,4,292,1,0,0,0,0,0,0,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,4,293,2,0,0,0,0,1,0.45999999999998,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,294,1,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,295,2,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,296,3,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,297,4,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,298,5,0,0,0,0,1,0.900000000000034,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,299,6,0,0,0,0,1,0.82000000000005,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,300,7,0,0,0,0,0,1,0,0
CRF_Acq_Stage1_Day2,CRFAcqStage1Day2A,CRFAcqStage1Day2A_Rat33.csv,33____,10,6,1,B,Marios,30,1,9,301,8,0,0,0,0,0,1,0,0
