folder,file,savename,subject,protocol,station,run,project,userID,session,bin_trial,bin_state,bin_time,bin_timewithin,A1_freq,A1_dur,A2_freq,A2_dur,A3_freq,A3_dur,A4_freq,A4_dur,counterbalancing,Period,state_ID,CS_name,Stage,Day
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,90,1,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,91,2,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,92,3,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,93,4,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,94,5,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,95,6,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,96,7,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,97,8,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,98,9,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,2,99,10,0,0,0,0,0,0,0,0,A,Pre,PreCS,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,4,100,1,0,0,0,0,0,0,0,0,A,CS,Noise,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,4,101,2,0,0,0,0,0,0,0,0,A,CS,Noise,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,4,102,3,0,0,0,0,0,0,0,0,A,CS,Noise,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,4,103,4,0,0,0,0,0,0,0,0,A,CS,Noise,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,104,1,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,105,2,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,106,3,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,107,4,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,108,5,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,109,6,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,110,7,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,111,8,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,112,9,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,1,9,113,10,0,0,0,0,0,0,0,0,A,Post,Pelletx0,B+/-,Stage1,Day1
CRF_Acq_Stage1_Day1,CRFAcqStage1Day1A,CRFAcqStage1Day1A_Rat25.csv,25____,10,1,1,B,Marios,20,2,2,236,1,0,0,0,0,0,0.47999999999999,0,0,A,Pre,PreCS,D+,Stage1,Day1
