Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LLR	A2 - RLR	A3 - MAG	A4 - 	A[1] LLR_OFF	A[2] RLR_OFF	A[3] MAG_OFF	A[4] 
B	Marios	5	10	1	1	25____	0	0	1	0	0	0	0	0	0	0	0	0
B	Marios	5	10	1	1	25____	111	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	161	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	176	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	403	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	406	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	537	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	538	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	539	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	569	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	611	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	1180	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	1182	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	1183	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	1259	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	1265	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	1308	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	1491	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	1593	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	1594	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	1806	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	2523	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	2525	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	3122	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	3124	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	3125	1	0	0	0	0	1	0	0	0	0	0
B	Marios	5	10	1	1	25____	3190	1	0	0	0	0	0	0	0	0	1	0
B	Marios	5	10	1	1	25____	3195	1	0	0	0	0	1	0	0	0	0	0
